"filenames","NN_Pred_Median","Lower_Quantile_0.025","Upper_Quantile_0.975"
"SABL_COMBO2022_NIR0022B_PRD_123_102157543_O1",23.6785,14.2481,30.0492
"SABL_COMBO2022_NIR0022B_PRD_124_102157544_O1",5.5409,4.736,6.394
"SABL_COMBO2022_NIR0022B_PRD_125_102157545_O1",2.4568,2.0803,2.9827
"SABL_COMBO2022_NIR0022B_PRD_127_102157547_O1",5.6882,4.7773,6.5879
"SABL_COMBO2022_NIR0022B_PRD_128_102157548_O1",4.977,4.2815,5.7966
"SABL_COMBO2022_NIR0022B_PRD_129_102157549_O1",7.1502,5.9517,8.2971
"SABL_COMBO2022_NIR0022B_PRD_130_102157550_O1",1.7627,1.45,2.1149
"SABL_COMBO2022_NIR0022B_PRD_131_102157551_O1",1.9485,1.6273,2.305
"SABL_COMBO2022_NIR0022B_PRD_132_102157552_O1",3.0381,2.4752,3.9693
"SABL_COMBO2022_NIR0022B_PRD_133_102157553_O1",2.0505,1.7047,2.3489
"SABL_COMBO2022_NIR0022B_PRD_134_102157554_O1",2.1564,1.839,2.6389
"SABL_COMBO2022_NIR0022B_PRD_135_102157555_O1",2.0249,1.7301,2.3613
"SABL_COMBO2022_NIR0022B_PRD_136_102157556_O1",1.9192,1.3774,2.2977
"SABL_COMBO2022_NIR0022B_PRD_137_102157557_O1",2.3067,1.9705,2.725
"SABL_COMBO2022_NIR0022B_PRD_138_102157558_O1",1.657,1.3488,1.951
"SABL_COMBO2022_NIR0022B_PRD_139_102157559_O1",3.7555,3.1107,4.4567
"SABL_COMBO2022_NIR0022B_PRD_140_102157560_O1",2.1485,1.8387,2.4886
"SABL_COMBO2022_NIR0022B_PRD_141_102188421_O1",18.2204,15.3201,21.8349
"SABL_COMBO2022_NIR0022B_PRD_142_102188422_O1",6.008,5.101,7.0162
"SABL_COMBO2022_NIR0022B_PRD_143_102188423_O1",17.1362,14.2342,20.5409
"SABL_COMBO2022_NIR0022B_PRD_144_102188424_O1",36.5161,33.0112,40.3473
"SABL_COMBO2022_NIR0022B_PRD_145_102188425_O1",11.2742,8.8898,13.4488
"SABL_COMBO2022_NIR0022B_PRD_146_102188426_O1",13.9479,11.2282,16.9609
"SABL_COMBO2022_NIR0022B_PRD_147_102188427_O1",20.777,17.9928,23.7808
"SABL_COMBO2022_NIR0022B_PRD_148_102188428_O1",36.6734,31.9012,40.7809
